iter	Passed	Remaining
0	1	1523
1	2	1227
2	3	1145
3	5	1257
4	6	1301
5	7	1256
6	8	1236
7	10	1240
8	11	1223
9	12	1274
10	14	1300
11	15	1275
12	16	1259
13	17	1240
14	18	1227
15	19	1228
16	21	1231
17	22	1215
18	23	1199
19	24	1185
20	25	1178
21	26	1191
22	28	1200
23	29	1185
24	30	1183
25	31	1176
26	32	1167
27	34	1181
28	35	1187
29	36	1182
30	37	1176
31	38	1170
32	39	1151
33	40	1156
34	42	1176
35	43	1156
36	44	1150
37	45	1143
38	46	1141
39	46	1123
40	48	1132
41	49	1132
42	50	1129
43	51	1125
44	52	1110
45	53	1107
46	54	1105
47	57	1142
48	59	1156
49	60	1157
50	62	1160
51	65	1190
52	66	1196
53	68	1197
54	68	1184
55	71	1199
56	74	1227
57	75	1226
58	76	1225
59	81	1278
60	82	1277
61	84	1276
62	86	1293
63	89	1311
64	91	1313
65	92	1307
66	96	1344
67	97	1341
68	99	1342
69	101	1342
70	103	1360
71	105	1356
72	106	1354
73	108	1356
74	109	1353
75	111	1351
76	112	1348
77	114	1348
78	116	1358
79	118	1361
80	119	1358
81	121	1355
82	122	1356
83	124	1353
84	125	1350
85	126	1346
86	129	1358
87	132	1377
88	134	1374
89	135	1369
90	137	1371
91	140	1382
92	143	1396
93	148	1433
94	151	1440
95	153	1443
96	155	1450
97	157	1447
98	158	1444
99	161	1451
100	165	1470
101	167	1473
102	169	1475
103	170	1468
104	171	1463
105	173	1461
106	174	1456
107	177	1467
108	180	1472
109	181	1472
110	183	1469
111	184	1462
112	185	1458
113	186	1453
114	188	1447
115	189	1441
116	191	1444
117	192	1439
118	193	1433
119	194	1429
120	196	1424
121	198	1425
122	199	1420
123	200	1414
124	200	1405
125	201	1400
126	202	1394
127	203	1388
128	205	1388
129	206	1383
130	207	1378
131	208	1374
132	210	1373
133	212	1375
134	217	1394
135	219	1391
136	222	1398
137	225	1410
138	228	1415
139	230	1418
140	242	1474
141	243	1474
142	245	1470
143	246	1467
144	248	1463
145	249	1461
146	253	1468
147	254	1464
148	255	1460
149	256	1455
150	258	1450
151	259	1446
152	260	1442
153	261	1437
154	263	1434
155	264	1431
156	265	1427
157	267	1423
158	268	1419
159	269	1415
160	270	1409
161	271	1404
162	273	1402
163	274	1399
164	275	1395
165	277	1391
166	278	1388
167	280	1389
168	399	1965
169	403	1971
170	407	1975
171	410	1978
172	412	1972
173	413	1965
174	415	1956
175	416	1947
176	417	1939
177	418	1931
178	419	1922
179	420	1914
180	421	1906
181	421	1896
182	423	1888
183	424	1882
184	425	1876
185	429	1879
186	431	1876
187	432	1869
188	433	1861
189	434	1853
190	435	1846
191	436	1838
192	437	1828
193	438	1821
194	439	1814
195	440	1806
196	441	1799
197	442	1792
198	443	1785
199	444	1778
200	445	1769
201	446	1762
202	447	1756
203	448	1749
204	449	1743
205	451	1740
206	452	1734
207	453	1727
208	454	1720
209	455	1713
210	456	1707
211	457	1700
212	458	1693
213	459	1685
214	459	1679
215	461	1673
216	462	1667
217	463	1660
218	464	1655
219	465	1649
220	466	1643
221	467	1639
222	468	1633
223	469	1627
224	470	1621
225	471	1616
226	472	1610
227	474	1604
228	475	1599
229	476	1594
230	477	1588
231	478	1583
232	479	1578
233	480	1572
234	481	1566
235	484	1569
236	522	1682
237	532	1705
238	536	1709
239	538	1705
240	540	1700
241	542	1698
242	543	1694
243	545	1689
244	546	1684
245	547	1679
246	549	1674
247	550	1669
248	552	1665
249	553	1660
250	555	1656
251	556	1652
252	558	1648
253	559	1643
254	561	1639
255	562	1634
256	563	1630
257	565	1625
258	566	1621
259	568	1617
260	569	1613
261	570	1608
262	571	1602
263	573	1598
264	574	1594
265	576	1590
266	577	1585
267	579	1582
268	580	1577
269	582	1574
270	583	1569
271	584	1565
272	586	1562
273	588	1558
274	589	1553
275	590	1550
276	592	1545
277	593	1542
278	595	1538
279	597	1535
280	598	1531
281	600	1528
282	601	1524
283	603	1521
284	604	1517
285	605	1512
286	607	1509
287	609	1507
288	611	1503
289	612	1499
290	614	1496
291	615	1492
292	617	1489
293	619	1486
294	620	1483
295	622	1480
296	623	1476
297	625	1473
298	627	1470
299	628	1467
300	630	1464
301	631	1460
302	633	1457
303	635	1453
304	636	1450
305	637	1446
306	641	1447
307	643	1445
308	645	1444
309	647	1441
310	649	1438
311	653	1440
312	654	1437
313	656	1434
314	658	1431
315	660	1428
316	661	1425
317	662	1421
318	664	1419
319	666	1416
320	668	1413
321	669	1410
322	673	1411
323	674	1408
324	676	1405
325	678	1402
326	679	1399
327	681	1396
328	683	1393
329	684	1390
330	688	1391
331	693	1395
332	695	1392
333	696	1389
334	698	1386
335	700	1384
336	704	1385
337	705	1382
338	707	1379
339	709	1376
340	715	1382
341	718	1382
342	720	1379
343	722	1377
344	723	1374
345	725	1370
346	730	1374
347	731	1371
348	734	1369
349	735	1366
350	737	1363
351	738	1360
352	740	1357
353	745	1360
354	747	1357
355	749	1356
356	751	1353
357	753	1351
358	755	1349
359	757	1346
360	765	1355
361	767	1353
362	771	1353
363	772	1350
364	773	1346
365	775	1342
366	777	1340
367	778	1336
368	779	1332
369	780	1329
370	781	1325
371	784	1324
372	787	1323
373	788	1319
374	789	1316
375	791	1313
376	794	1312
377	795	1308
378	796	1304
379	797	1301
380	802	1303
381	803	1299
382	804	1296
383	806	1293
384	808	1292
385	810	1288
386	811	1284
387	812	1281
388	814	1279
389	817	1278
390	818	1274
391	819	1270
392	820	1267
393	822	1264
394	824	1262
395	825	1259
396	826	1255
397	827	1252
398	830	1250
399	833	1249
400	834	1246
401	835	1242
402	836	1239
403	839	1237
404	840	1234
405	841	1230
406	842	1227
407	843	1223
408	845	1221
409	846	1218
410	847	1214
411	848	1211
412	849	1207
413	851	1204
414	853	1203
415	855	1200
416	857	1198
417	859	1196
418	860	1193
419	862	1190
420	863	1187
421	865	1184
422	866	1181
423	867	1178
424	868	1175
425	869	1171
426	870	1168
427	871	1165
428	872	1161
429	873	1158
430	876	1156
431	877	1153
432	878	1150
433	879	1147
434	880	1143
435	881	1140
436	884	1139
437	885	1136
438	886	1133
439	887	1130
440	889	1126
441	890	1123
442	891	1120
443	892	1117
