iter	Logloss
0	0.6926547276
1	0.6920224308
2	0.6913612451
3	0.6907385923
4	0.6903162324
5	0.6900160714
6	0.6893919184
7	0.6888462452
8	0.6882815843
9	0.6876582456
10	0.6872115403
11	0.6864094252
12	0.6856751603
13	0.6852316267
14	0.6843567323
15	0.683919328
16	0.6832650431
17	0.6825582097
18	0.6817750824
19	0.6814065998
20	0.6808797429
21	0.6800492105
22	0.6794843352
23	0.6787298824
24	0.6781782515
25	0.6775504123
26	0.6769380034
27	0.6765170151
28	0.6760355917
29	0.6752489926
30	0.6747568966
31	0.6742139238
32	0.6735779837
33	0.6730358681
34	0.6726955457
35	0.6724238878
36	0.671828195
37	0.6714155219
38	0.6707765815
39	0.6702830711
40	0.6696389016
41	0.6691120448
42	0.6685523987
43	0.6681211664
44	0.6676227698
45	0.6673105647
46	0.6666190758
47	0.6660883186
48	0.665559833
49	0.6649788417
50	0.6644902176
51	0.6640525989
52	0.6635235561
53	0.6628792581
54	0.6625795257
55	0.6619559299
56	0.6614126998
57	0.6610053416
58	0.6605548644
59	0.6602943935
60	0.6599662866
61	0.6593855954
62	0.6590010825
63	0.6588038327
64	0.658572422
65	0.658139261
66	0.6579511407
67	0.657681283
68	0.6571549833
69	0.6567341665
70	0.656451536
71	0.6562433993
72	0.6558206108
73	0.6556228466
74	0.6552706086
75	0.654916399
76	0.6546049225
77	0.6543888564
78	0.6540855665
79	0.6538260385
80	0.6532449615
81	0.6528654634
82	0.6526023779
83	0.652222194
84	0.6520573477
85	0.6518021487
86	0.6512929509
87	0.6509953617
88	0.6508640332
89	0.6505927182
90	0.6503740804
91	0.650112795
92	0.6498906853
93	0.6497229673
94	0.6493270531
95	0.6490868558
96	0.6486896558
97	0.6483809225
98	0.6482082324
99	0.6479307025
100	0.6477505973
101	0.647571178
102	0.647396602
103	0.6470757817
104	0.6467707773
105	0.6464147675
106	0.6462285331
107	0.6457519531
108	0.6455727909
109	0.6451973219
110	0.6449412657
111	0.6446967821
112	0.6444363969
113	0.6442907955
114	0.6440861734
115	0.6439040109
116	0.6437667675
117	0.6434254593
118	0.6432539693
119	0.6430253018
120	0.6428514545
121	0.6426292162
122	0.642377189
123	0.6421264906
124	0.6418061846
125	0.64161785
126	0.6412860142
127	0.6411116096
128	0.6407558141
129	0.6405334473
130	0.6403432267
131	0.640229986
132	0.6400470519
133	0.6396517807
134	0.6394084973
135	0.6390913203
136	0.6388380072
137	0.6386531444
138	0.6384222481
139	0.6382916054
140	0.6381913946
141	0.6379107357
142	0.637610189
143	0.6374881616
144	0.6371848289
145	0.6370397418
146	0.6368580079
147	0.6367045199
148	0.6365364589
149	0.6363053054
150	0.6360287613
151	0.6358704728
152	0.6357421875
153	0.6354910175
154	0.6354301538
155	0.6352084728
156	0.6350089941
157	0.6349018397
158	0.6345507161
159	0.6343730969
160	0.6342552699
161	0.634074779
162	0.633940536
163	0.6337767612
164	0.6335450505
165	0.6333495579
166	0.6332199011
167	0.6331414212
168	0.6329757605
169	0.6328699776
170	0.6327588371
171	0.632641653
172	0.6324826358
173	0.6321856895
174	0.6320313872
175	0.6318237219
176	0.631694708
177	0.6314447382
178	0.6311551641
179	0.6310744553
180	0.6310000045
181	0.6307589927
182	0.630660925
183	0.6305434838
184	0.6304214992
185	0.6303330325
186	0.6302691685
187	0.6301323537
188	0.6300323143
189	0.6298582527
190	0.6297374254
191	0.629619727
192	0.6294751542
193	0.6292289991
194	0.6291170013
195	0.6289064643
196	0.6286898838
197	0.6285302666
198	0.6284781895
199	0.6283692778
200	0.6282424927
201	0.6281039634
202	0.6279352595
203	0.6277632981
204	0.6276096815
205	0.6273330088
206	0.6272381986
207	0.6270424489
208	0.626969241
209	0.6268015658
210	0.6267098845
211	0.6264850745
212	0.6263895785
213	0.6262723087
214	0.6261016331
215	0.6260262821
216	0.6259617323
217	0.6258383762
218	0.6257133484
219	0.6255201704
220	0.6254006718
221	0.6252602995
222	0.6249264492
223	0.6246838087
224	0.6244495263
225	0.624365903
226	0.6242569055
227	0.6241556661
228	0.6239188548
229	0.6237372923
230	0.6236721425
231	0.6235496007
232	0.6234466467
233	0.6232749853
234	0.6230451177
235	0.6229187183
236	0.6227771888
237	0.6226705915
238	0.6225970408
239	0.6224841
240	0.6224032198
241	0.6223429991
242	0.6221895539
243	0.6219813315
244	0.6218604613
245	0.6217385624
