iter	Passed	Remaining
0	3	3148
1	4	2142
2	5	1699
3	6	1683
4	7	1501
5	8	1381
6	9	1304
7	9	1231
8	10	1150
9	10	1084
10	11	1028
11	12	996
12	12	960
13	13	929
14	13	903
15	14	881
16	14	866
17	15	857
18	21	1089
19	21	1066
20	22	1042
21	24	1084
22	25	1089
23	27	1108
24	27	1087
25	28	1066
26	29	1046
27	29	1025
28	30	1005
29	30	987
30	32	1021
31	33	1002
32	33	982
33	34	978
34	35	968
35	36	988
36	37	983
37	38	984
38	39	985
39	41	994
40	42	985
41	42	971
42	43	957
43	43	945
44	43	933
45	44	921
46	48	980
47	48	971
48	55	1078
49	55	1063
50	56	1059
51	57	1052
52	58	1043
53	59	1034
54	59	1027
55	71	1199
56	71	1187
57	72	1177
58	73	1166
59	73	1154
60	74	1145
61	75	1134
62	75	1124
63	80	1177
64	86	1241
65	87	1234
66	88	1225
67	88	1214
68	89	1205
69	90	1196
70	90	1185
71	91	1176
72	95	1207
73	96	1209
74	97	1201
75	98	1199
76	100	1201
77	101	1195
78	101	1185
79	102	1177
80	103	1169
81	103	1161
82	104	1152
83	104	1143
84	105	1135
85	106	1128
86	109	1149
87	110	1143
88	111	1139
89	112	1133
90	112	1126
91	113	1118
92	113	1111
93	114	1106
94	115	1101
95	116	1095
96	116	1087
97	117	1082
98	118	1075
99	118	1068
100	119	1062
101	119	1055
102	120	1049
103	122	1053
104	124	1062
105	125	1057
106	127	1060
107	127	1055
108	128	1049
109	128	1043
110	129	1038
111	130	1034
112	131	1030
113	132	1025
114	132	1020
115	133	1017
116	134	1012
117	140	1048
118	141	1046
119	142	1042
120	144	1052
121	146	1051
122	146	1046
123	147	1041
124	147	1035
125	148	1030
126	149	1025
127	150	1021
128	152	1032
129	153	1029
130	154	1024
131	156	1029
132	157	1025
133	157	1019
134	158	1013
135	158	1008
136	159	1002
137	159	997
138	160	993
139	160	988
140	161	983
141	161	977
142	162	973
143	162	968
144	163	964
145	164	961
146	165	957
147	165	953
148	166	948
149	166	943
150	167	939
151	167	935
152	168	931
153	168	926
154	169	922
155	169	917
156	170	913
157	170	909
158	171	906
159	172	904
160	172	900
161	173	896
162	173	892
163	174	888
164	174	884
165	175	880
166	175	876
167	176	872
168	176	868
169	177	865
170	177	862
171	178	860
172	179	857
173	179	853
174	180	850
175	180	846
176	181	842
177	181	839
178	182	835
179	182	832
180	183	828
181	183	825
182	184	821
183	184	818
184	185	815
185	185	812
186	186	810
187	187	808
188	187	804
189	188	801
190	188	798
191	189	795
192	189	792
193	189	789
194	190	786
195	190	782
196	191	779
197	191	776
198	192	773
199	193	772
200	193	770
201	194	768
202	195	766
203	195	763
204	196	760
205	196	757
206	196	754
207	197	751
208	197	749
209	198	746
210	198	743
211	199	740
212	199	738
213	200	735
214	201	734
215	201	732
216	202	729
217	202	727
218	203	724
219	203	722
220	204	719
221	204	717
222	205	714
223	205	712
224	206	709
225	206	707
226	207	705
227	207	702
228	208	702
229	209	701
230	210	701
231	211	698
232	211	696
233	212	694
234	212	693
235	213	691
236	214	689
237	214	687
238	215	685
239	215	683
240	216	681
241	216	679
242	217	676
243	217	674
244	218	672
245	218	670
246	219	667
247	219	665
248	220	663
249	220	661
250	220	659
251	221	657
252	222	657
253	223	656
254	224	655
255	225	654
256	225	653
257	226	651
258	226	649
259	227	647
